	impact	impact_unit	stressor	factor
295412	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Refined lead, unwrought - air	137045.1596
295413	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: basic oxygen furnace - air	137045.1596
295414	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: electric arc furnace - air	137045.1596
295415	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Steel production: open hearth furnace - air	137045.1596
295416	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	137045.1596
295417	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Zinc, unwrought, not alloyed - air	137045.1596
295418	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Agglomeration plant - pellets - air	662.0918161
295419	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Agglomeration plant - sinter - air	662.0918161
295420	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Glass production - air	662.0918161
295421	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Pig iron production, blast furnace - air	662.0918161
295422	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: basic oxygen furnace - air	662.0918161
295423	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: electric arc furnace - air	662.0918161
295424	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cr - non combustion - Steel production: open hearth furnace - air	662.0918161
295425	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Agglomeration plant - pellets - air	74768.30671
295426	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Agglomeration plant - sinter - air	74768.30671
295427	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Glass production - air	74768.30671
295428	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Pig iron production, blast furnace - air	74768.30671
295429	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: basic oxygen furnace - air	74768.30671
295430	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: electric arc furnace - air	74768.30671
295431	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Cu - non combustion - Steel production: open hearth furnace - air	74768.30671
295432	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Agglomeration plant - pellets - air	2757.350208
295433	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Agglomeration plant - sinter - air	2757.350208
295434	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Agglomeration plant - pellets - air	177761.5107
295435	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Agglomeration plant - sinter - air	177761.5107
295436	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Glass production - air	177761.5107
295437	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Nickel, unwrought - air	177761.5107
295438	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Pig iron production, blast furnace - air	177761.5107
295439	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Production of coke oven coke - air	177761.5107
295440	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Production of gascoke - air	177761.5107
295441	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Refined copper; unwrought, not alloyed - air	177761.5107
295442	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Refined lead, unwrought - air	177761.5107
295443	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	HCB - non combustion - Secondary aluminium production - air	2757.350208
295444	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: basic oxygen furnace - air	177761.5107
295445	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Steel production: electric arc furnace - air	177761.5107
295446	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	177761.5107
295447	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Hg - non combustion - Zinc, unwrought, not alloyed - air	177761.5107
295448	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Primary aluminium production - air	24886.91136
295449	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Production of coke oven coke - air	24886.91136
295450	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Indeno - non combustion - Production of gascoke - air	24886.91136
295521	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - pellets - air	83187.71379
295522	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Agglomeration plant - sinter - air	83187.71379
295523	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Glass production - air	83187.71379
295524	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of coke oven coke - air	83187.71379
295525	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Production of gascoke - air	83187.71379
295526	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: basic oxygen furnace - air	83187.71379
295527	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: electric arc furnace - air	83187.71379
295528	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Ni - non combustion - Steel production: open hearth furnace - air	83187.71379
295541	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - pellets - air	814194886.6
295542	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Agglomeration plant - sinter - air	814194886.6
295543	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Pig iron production, blast furnace - air	814194886.6
295544	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Secondary aluminium production - air	814194886.6
295545	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Steel production: basic oxygen furnace - air	814194886.6
295546	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	PCDD/F - non combustion - Steel production: electric arc furnace - air	814194886.6
295639	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Agglomeration plant - pellets - air	996.5510756
295640	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Agglomeration plant - sinter - air	996.5510756
295641	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Glass production - air	996.5510756
295642	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Nickel, unwrought - air	996.5510756
295643	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Pig iron production, blast furnace - air	996.5510756
295644	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Production of coke oven coke - air	996.5510756
295645	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Production of gascoke - air	996.5510756
295646	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Refined copper; unwrought, not alloyed - air	996.5510756
295647	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Refined lead, unwrought - air	996.5510756
295648	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Steel production: basic oxygen furnace - air	996.5510756
295649	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Steel production: electric arc furnace - air	996.5510756
295650	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Steel production: open hearth furnace - air	996.5510756
295651	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	996.5510756
295652	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Pb - non combustion - Zinc, unwrought, not alloyed - air	996.5510756
295672	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Se - non combustion - Agglomeration plant - pellets - air	18566.92219
295673	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Se - non combustion - Agglomeration plant - sinter - air	18566.92219
295674	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Se - non combustion - Glass production - air	18566.92219
295675	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Se - non combustion - Steel production: basic oxygen furnace - air	18566.92219
295722	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Agglomeration plant - pellets - air	7736.218162
295723	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Agglomeration plant - sinter - air	7736.218162
295724	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Glass production - air	7736.218162
295725	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Nickel, unwrought - air	7736.218162
295726	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Pig iron production, blast furnace - air	7736.218162
295727	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Refined copper; unwrought, not alloyed - air	7736.218162
295728	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Refined lead, unwrought - air	7736.218162
295729	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Steel production: basic oxygen furnace - air	7736.218162
295730	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Steel production: electric arc furnace - air	7736.218162
295731	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Steel production: open hearth furnace - air	7736.218162
295732	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	7736.218162
295733	Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	kg 1,4-dichlorobenzene eq.	Zn - non combustion - Zinc, unwrought, not alloyed - air	7736.218162
297048	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Benzo(a)pyrene - combustion - air	0.241115934
297050	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Benzo(k)fluoranthene - combustion - air	29.73718491
297051	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Indeno(1,2,3-cd)pyrene - combustion - air	0.80283912
297053	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	PCDD_F - combustion - air	12000.04517
297054	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	HCB - combustion - air	0.261304014
297059	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - combustion - air	84.49278248
297060	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - combustion - air	43.63393252
297061	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cr - combustion - air	101.289015
297062	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cu - combustion - air	2.905583418
297063	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Hg - combustion - air	12318.83244
297064	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Ni - combustion - air	33.34493407
297065	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Pb - combustion - air	0.707397711
297066	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Se - combustion - air	53.1247641
297067	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Zn - combustion - air	3.638545408
297068	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Agglomeration plant - pellets - air	84.49278248
297069	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Agglomeration plant - sinter - air	84.49278248
297070	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Glass production - air	84.49278248
297071	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Production of coke oven coke - air	84.49278248
297072	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Production of gascoke - air	84.49278248
297073	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Steel production: basic oxygen furnace - air	84.49278248
297074	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Steel production: electric arc furnace - air	84.49278248
297075	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	As - non combustion - Steel production: open hearth furnace - air	84.49278248
297076	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	B(a)P - non combustion - Primary aluminium production - air	0.241115934
297077	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	B(a)P - non combustion - Production of coke oven coke - air	0.241115934
297078	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	B(a)P - non combustion - Production of gascoke - air	0.241115934
297082	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	B(k)F - non combustion - Primary aluminium production - air	29.73718491
297083	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	B(k)F - non combustion - Production of coke oven coke - air	29.73718491
297084	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	B(k)F - non combustion - Production of gascoke - air	29.73718491
297112	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Agglomeration plant - pellets - air	43.63393252
297113	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Agglomeration plant - sinter - air	43.63393252
297114	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Glass production - air	43.63393252
297115	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Nickel, unwrought - air	43.63393252
297116	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Production of coke oven coke - air	43.63393252
297117	Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	kg 1,4-dichlorobenzene eq.	Cd - non combustion - Production of gascoke - air	43.63393252
